route_mkt,route_short_name,cluster,branch,vehicle_type,line_uniqueness,od
40091,91,שרון,500,עירוני,סדיר,הרצליה/תל אביב יפו
31096,96,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
42004,4,שרון,שרון עירוני,עירוני,סדיר,אלישמע/הוד השרון
77005,5,שרון,שרון עירוני,עירוני,סדיר,הוד השרון/הוד השרון
12349,349,שרון,שרון בינעירוני,בינעירוני,סדיר,כוכב יאיר/תל אביב יפו
12468,468,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר - מגזר,קלנסווה/רמת גן
10504,504,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,רעננה/תל אביב יפו
11505,505,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,רעננה/רמת גן
10532,532,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,רמת השרון/תל אביב יפו
10551,551,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,הרצליה/פתח תקווה
10553,553,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,הרצליה/פתח תקווה
10564,564,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/רמת גן
10567,567,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,כפר סבא/תל אביב יפו
10570,570,שרון חולון מרחבי,שרון בינעירוני,בינעירוני,סדיר,הוד השרון/תל אביב יפו
57001,1,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/רעננה
60001,1,שרון,שרון עירוני,עירוני,סדיר,הוד השרון/הוד השרון
56001,1,שרון,שרון עירוני,עירוני,סדיר,רמת השרון/רמת השרון
46002,2,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/כפר סבא
43003,3,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/כפר סבא
33005,5,שרון,שרון עירוני,עירוני,סדיר,רעננה/חרוצים
42003,3,שרון,שרון עירוני,עירוני,סדיר,רעננה/הרצליה
28008,8,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/כפר סבא
64009,9,שרון,שרון עירוני,עירוני,סדיר,הוד השרון/כפר סבא
26010,10,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/רעננה
35011,11,שרון,שרון עירוני,עירוני,סדיר,הוד השרון/כפר סבא
50009,9,שרון,שרון עירוני,עירוני,סדיר,רעננה/הרצליה
69015,15,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/רעננה
21019,19,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/בית ברל
12469,469,הנגב,"ב""ש",בינעירוני,לילה,תל אביב יפו/באר שבע
27021,21,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/כוכב יאיר
19029,29,שרון,שרון עירוני,עירוני,סדיר מאושר שבת,כפר סבא/הרצליה
20032,32,שרון,שרון עירוני,עירוני,סדיר,בית ברל/רמת השרון
48019,19,שרון,שרון עירוני,עירוני,סדיר,הרצליה/רעננה
16039,39,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/הרצליה
26042,42,שרון,שרון עירוני,עירוני,סדיר,כפר סבא/פתח תקווה
18027,27,שרון,שרון עירוני,עירוני,סדיר,רמת השרון/הרצליה
33031,31,שרון,שרון עירוני,עירוני,סדיר,רעננה/הרצליה
26061,61,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
27065,65,שרון,שרון עירוני,עירוני,קווים מזינים,הוד השרון/כפר סבא
30071,71,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
18073,73,שרון,שרון עירוני,עירוני,תלמידים,הוד השרון/הוד השרון
22074,74,שרון,שרון עירוני,עירוני,תלמידים,הוד השרון/הוד השרון
20063,63,שרון,שרון עירוני,עירוני,תלמידים,רעננה/הרצליה
24075,75,שרון,שרון עירוני,עירוני,תלמידים,הוד השרון/הוד השרון
20076,76,שרון,שרון עירוני,עירוני,תלמידים,הוד השרון/הוד השרון
37076,76,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
21077,77,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
35078,78,שרון,שרון עירוני,עירוני,תלמידים,הוד השרון/הוד השרון
30084,84,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
28086,86,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
33088,88,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
26090,90,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
24095,95,שרון,שרון עירוני,עירוני,תלמידים,הוד השרון/הוד השרון
34081,81,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
32096,96,שרון,שרון עירוני,עירוני,תלמידים,הוד השרון/הוד השרון
39082,82,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
27097,97,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
23098,98,שרון,שרון עירוני,עירוני,תלמידים,רעננה/רעננה
33085,85,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
24099,99,שרון,שרון עירוני,עירוני,תלמידים,כפר סבא/כפר סבא
34087,87,שרון,שרון עירוני,עירוני,תלמידים,הרצליה/הרצליה
