cluster,operator_ref,route_short_name,route_mkt,route_direction,route_alternative
שרון,15,149,12149,1,#
שרון,15,148,17148,2,#
שרון,15,22,43022,1,#
הנגב,15,669,11669,1,#
הנגב,15,68,15068,1,#
הנגב,15,68,15068,2,#
הנגב,15,140,20140,2,1
הנגב,15,20,24020,1,#
הנגב,15,140,20140,1,2
הנגב,15,660,10660,2,#
הנגב,15,367,11367,1,#
הנגב,15,3,78003,1,2
הנגב,15,36,26036,2,#
הנגב,15,684,10684,2,#
הנגב,15,688,10688,2,#
הנגב,15,343,11343,1,#
הנגב,15,684,10684,1,#
הנגב,15,559,10559,1,#
הנגב,15,65,18065,2,#
הנגב,15,64,22064,2,3
הנגב,15,477,11477,1,#
הנגב,15,477,11477,2,#
הנגב,15,47,23047,1,#
הנגב,15,400,22400,1,#
הנגב,15,80,39080,1,3
הנגב,15,80,39080,2,2
הנגב,15,142,19142,2,3
הנגב,15,140,20140,1,#
הנגב,15,5,83005,2,#
הנגב,15,60,23060,1,1
הנגב,15,262,12262,2,#
הנגב,15,64,22064,1,#
הנגב,15,64,22064,2,4
הנגב,15,60,23060,2,#
הנגב,15,368,10368,2,#
הנגב,15,369,10369,1,#
הנגב,15,369,10369,1,4
הנגב,15,375,10375,2,#
הנגב,15,469,12469,1,#
הנגב,15,144,12144,2,#
הנגב,15,457,14457,2,#
הנגב,15,20,24020,2,#
הנגב,15,120,12120,2,#
הנגב,15,24,19024,1,1
הנגב,15,28,22028,2,1
הנגב,15,66,19066,1,#
הנגב,15,682,10682,2,#
שרון חולון מרחבי,15,142,13142,1,#
שרון חולון מרחבי,15,298,14298,1,1
שרון חולון מרחבי,15,298,14298,2,#
שרון חולון מרחבי,15,222,27222,1,#
שרון חולון מרחבי,15,616,10616,2,#
שרון חולון מרחבי,15,617,10617,1,#
שרון חולון מרחבי,15,567,10567,1,#
שרון חולון מרחבי,15,616,10616,1,#
שרון חולון מרחבי,15,4,63004,1,#
שרון חולון מרחבי,15,12,23012,1,#
בקעת אונו אלעד,15,277,10277,1,0
בקעת אונו אלעד,15,69,15069,1,0
בקעת אונו אלעד,15,75,31075,2,0
בקעת אונו אלעד,15,15,34015,1,0
בקעת אונו אלעד,15,137,10137,1,0
בקעת אונו אלעד,15,7,22007,1,1
בקעת אונו אלעד,15,7,22007,2,1
בקעת אונו אלעד,15,36,20036,1,0
בקעת אונו אלעד,15,36,20036,2,0
בקעת אונו אלעד,15,377,11377,1,1
בקעת אונו אלעד,15,180,12180,2,0
בקעת אונו אלעד,15,281,12281,1,0
בקעת אונו אלעד,15,281,12281,2,0
בקעת אונו אלעד,15,4,24004,2,0
בקעת אונו אלעד,15,590,10590,1,0
בקעת אונו אלעד,15,180,12180,1,0
בקעת אונו אלעד,15,176,11176,2,0
שרון,15,97,28097,2,1
שרון,15,96,40096,2,1
שרון,15,91,40091,1,#
שרון,15,29,19029,1,3
שרון,15,29,19029,2,3
שרון,15,19,48019,2,#
שרון,15,1,60001,3,1
שרון,15,5,77005,2,#
שרון,15,8,28008,1,#
שרון,15,14,52014,2,#
שרון,15,21,27021,1,#
שרון,15,349,12349,1,#
שרון,15,247,12247,1,#
שרון,15,347,10347,1,#
שרון,15,147,13147,1,#
הנגב,15,26,20026,1,#
הנגב,15,10,27010,1,#
הנגב,15,387,12387,2,1
הנגב,15,352,10352,1,#
הנגב,15,358,10358,2,#
הנגב,15,559,10559,2,#
הנגב,15,459,12459,1,3
הנגב,15,357,10357,1,#
הנגב,15,378,10378,2,#
הנגב,15,80,39080,1,4
הנגב,15,80,39080,2,#
הנגב,15,55,24055,2,#
הנגב,15,55,24055,2,1
הנגב,15,588,10588,1,#
הנגב,15,117,14117,2,#
הנגב,15,170,14170,2,#
הנגב,15,137,15137,2,#
הנגב,15,388,10388,2,#
הנגב,15,589,12589,1,#
הנגב,15,62,20062,2,#
הנגב,15,369,10369,1,2
הנגב,15,369,10369,2,2
הנגב,15,367,11367,2,#
הנגב,15,348,12348,2,#
הנגב,15,347,21347,2,#
הנגב,15,36,26036,2,1
הנגב,15,688,10688,1,1
הנגב,15,353,10353,2,#
הנגב,15,322,18322,2,#
הנגב,15,117,14117,1,#
